layer,proposer_type,budget,observation_label_recovery_rate,delay_label_recovery_rate,candidate_family_recovery_rate,best_rolling_error_after_k,top_epsilon_hit_rate,best_rolling_score_after_k,post_selection_test_mae,candidate_diversity
synthetic_execution,deterministic_seed_proposer,3,0.588,0.389,0.588,0.11073453116191113,0.581,,,
synthetic_execution,deterministic_seed_proposer,5,0.719,0.708,0.719,0.1020860511729353,0.8,,,
synthetic_execution,deterministic_seed_proposer,10,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,deterministic_seed_proposer,20,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,exhaustive_oracle,3,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,exhaustive_oracle,5,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,exhaustive_oracle,10,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,exhaustive_oracle,20,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,failure_guided_proposer,3,0.936,0.924,0.936,0.058593767920205375,1.0,,,
synthetic_execution,failure_guided_proposer,5,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,failure_guided_proposer,10,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,failure_guided_proposer,20,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,mock_api_proposer,3,0.968,0.955,0.968,0.05865351933147288,1.0,,,
synthetic_execution,mock_api_proposer,5,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,mock_api_proposer,10,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,mock_api_proposer,20,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,no_observation_label_baseline,3,0.2,0.4,0.2,0.12831529331715094,0.321,,,
synthetic_execution,no_observation_label_baseline,5,0.2,0.4,0.2,0.12831529331715094,0.321,,,
synthetic_execution,no_observation_label_baseline,10,0.2,0.4,0.2,0.12831529331715094,0.321,,,
synthetic_execution,no_observation_label_baseline,20,0.2,0.4,0.2,0.12831529331715094,0.321,,,
synthetic_execution,random_candidate_proposer,3,0.612,0.57,0.612,0.09135924435297002,0.699,,,
synthetic_execution,random_candidate_proposer,5,0.833,0.793,0.833,0.0684368857392654,0.919,,,
synthetic_execution,random_candidate_proposer,10,0.919,0.907,0.919,0.058527882302833005,1.0,,,
synthetic_execution,random_candidate_proposer,20,0.919,0.907,0.919,0.058527882302833005,1.0,,,
frozen_replay,deterministic_seed_proposer,3,,,,,0.5,0.10686507936507933,0.13181818181818175,1.0
frozen_replay,deterministic_seed_proposer,5,,,,,0.5,0.10686507936507933,0.13181818181818175,2.0
frozen_replay,deterministic_seed_proposer,10,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,deterministic_seed_proposer,20,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,mock_api_proposer,3,,,,,1.0,0.08724144067240035,0.08213596367967455,3.0
frozen_replay,mock_api_proposer,5,,,,,1.0,0.08724144067240035,0.08213596367967455,4.0
frozen_replay,mock_api_proposer,10,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,mock_api_proposer,20,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,oracle_full_candidate_ranking,3,,,,,1.0,0.08295190144417433,0.0822343821008022,2.0
frozen_replay,oracle_full_candidate_ranking,5,,,,,1.0,0.08295190144417433,0.0822343821008022,3.0
frozen_replay,oracle_full_candidate_ranking,10,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,oracle_full_candidate_ranking,20,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,random_candidate_proposer,3,,,,,0.5,0.10748659929130013,0.0725713629289325,2.5
frozen_replay,random_candidate_proposer,5,,,,,0.75,0.0967273529758521,0.06363235388697772,3.25
frozen_replay,random_candidate_proposer,10,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
frozen_replay,random_candidate_proposer,20,,,,,1.0,0.08295190144417433,0.0822343821008022,4.0
