layer,series_name,proposer_type,budget,selected_model_at_k,best_rolling_score_after_k,post_selection_test_mae,budget_to_top_epsilon_full_candidate_set,candidate_diversity,invalid_or_rejected_proposals,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,top_epsilon_hit,evidence_mode,selection_metric_source,test_metric_usage
frozen_replay,0-4 yr,random_candidate_proposer,5,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,random_candidate_proposer,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,random_candidate_proposer,20,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,oracle_full_candidate_ranking,3,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,2,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,oracle_full_candidate_ranking,5,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,oracle_full_candidate_ranking,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,0-4 yr,oracle_full_candidate_ranking,20,constrained_structure_discovery,0.100200235379189,0.0884963717287904,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,mock_api_proposer,3,arima_auto_small,0.0304497354497354,0.009090909090909,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,mock_api_proposer,5,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,mock_api_proposer,10,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,mock_api_proposer,20,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,deterministic_seed_proposer,3,arima_auto_small,0.0304497354497354,0.009090909090909,3,1,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,deterministic_seed_proposer,5,arima_auto_small,0.0304497354497354,0.009090909090909,3,2,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,deterministic_seed_proposer,10,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,deterministic_seed_proposer,20,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,random_candidate_proposer,3,deterministic_seir,0.0734867207115275,0.0448469452587281,5,2,0,1.0,0.0,0.0,0.0,False,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,random_candidate_proposer,5,arima_auto_small,0.0304497354497354,0.009090909090909,5,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,random_candidate_proposer,10,arima_auto_small,0.0304497354497354,0.009090909090909,5,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,random_candidate_proposer,20,arima_auto_small,0.0304497354497354,0.009090909090909,5,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,oracle_full_candidate_ranking,3,arima_auto_small,0.0304497354497354,0.009090909090909,3,2,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,oracle_full_candidate_ranking,5,arima_auto_small,0.0304497354497354,0.009090909090909,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,18-49 yr,oracle_full_candidate_ranking,10,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
