series_name,proposer_type,budget,selected_model_at_k,selection_metric_source,validation_or_rolling_score_at_k,post_selection_test_mae,test_metric_usage
>= 65 yr,deterministic_seed_proposer,5,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,deterministic_seed_proposer,10,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,random_candidate_proposer,3,rolling_mean_4wk,rolling_mean_mae,0.28535714285714286,0.3022727272727273,posthoc_descriptive_only
>= 65 yr,random_candidate_proposer,5,rolling_mean_4wk,rolling_mean_mae,0.28535714285714286,0.3022727272727273,posthoc_descriptive_only
>= 65 yr,random_candidate_proposer,10,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,failure_guided_proposer,3,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,failure_guided_proposer,5,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,failure_guided_proposer,10,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,mock_api_proposer,3,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,mock_api_proposer,5,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,mock_api_proposer,10,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,oracle_full_candidate_ranking,3,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,oracle_full_candidate_ranking,5,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
>= 65 yr,oracle_full_candidate_ranking,10,arima_auto_small,rolling_mean_mae,0.1983333333333333,0.3272727272727272,posthoc_descriptive_only
