season,age_group,series_name,model_name,structure_name,fractional,observation_map,delay_weeks,score_policy,test_mae,rolling_mean_mae
2021-22,0-4 yr,2021-22 / 0-4 yr,no_observation_search_discovery,SEIRS,False,I,0.0,stability_aware,0.40977580230082666,0.3715959341824319
2021-22,0-4 yr,2021-22 / 0-4 yr,validation_only_structure_selection,SEIAR,True,delayed_I,1.0,validation_only,0.40263543833187865,0.404858849881851
2021-22,>= 65 yr,2021-22 / >= 65 yr,constrained_structure_discovery,SEIRS,False,delayed_I,3.0,stability_aware,1.5092828744503526,0.7113164020524593
2021-22,>= 65 yr,2021-22 / >= 65 yr,no_observation_search_discovery,SEIRS,False,I,0.0,stability_aware,2.1711225313356244,0.9272386861734556
2021-22,>= 65 yr,2021-22 / >= 65 yr,validation_only_structure_selection,SEIAR,False,delayed_I,1.0,validation_only,1.4807401801697135,1.0262688122764831
2021-22,Overall,2021-22 / Overall,constrained_structure_discovery,SIR,False,I,0.0,stability_aware,0.29983660428818815,0.31926859113448675
2021-22,Overall,2021-22 / Overall,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.2926373807214936,0.3196420891754147
2021-22,Overall,2021-22 / Overall,validation_only_structure_selection,SEIAR,True,I,0.0,validation_only,0.3444449552139287,0.36540385168117656
2022-23,0-4 yr,2022-23 / 0-4 yr,constrained_structure_discovery,SIR,False,I,0.0,stability_aware,0.19975278861785398,0.2154351487305976
2022-23,0-4 yr,2022-23 / 0-4 yr,no_observation_search_discovery,SIR,True,I,0.0,stability_aware,0.16676264926148834,0.19628635422062032
2022-23,0-4 yr,2022-23 / 0-4 yr,validation_only_structure_selection,SEIAR,True,I,0.0,validation_only,0.1522459019910203,0.1736624391849508
2022-23,>= 65 yr,2022-23 / >= 65 yr,constrained_structure_discovery,SEIHR,False,I+H,0.0,stability_aware,0.42914667277596225,0.46396393077194537
2022-23,>= 65 yr,2022-23 / >= 65 yr,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.42807242830636666,0.47204363933377225
2022-23,>= 65 yr,2022-23 / >= 65 yr,validation_only_structure_selection,SEIAR,True,delayed_I,1.0,validation_only,0.39506152572461,0.47604485895829324
2022-23,Overall,2022-23 / Overall,constrained_structure_discovery,SIR,False,delayed_I,1.0,stability_aware,0.16615297116848105,0.1578630418184788
2022-23,Overall,2022-23 / Overall,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.17115818882183875,0.16008738899692387
2022-23,Overall,2022-23 / Overall,validation_only_structure_selection,SEIHR,False,I,0.0,validation_only,0.16247605861585354,0.15282669960068881
2023-24,0-4 yr,2023-24 / 0-4 yr,constrained_structure_discovery,SEIRS,False,I,0.0,stability_aware,0.11450734843199416,0.2247716923550386
2023-24,0-4 yr,2023-24 / 0-4 yr,no_observation_search_discovery,SEIRS,False,I,0.0,stability_aware,0.09728704424335953,0.20517309735549566
2023-24,0-4 yr,2023-24 / 0-4 yr,validation_only_structure_selection,SEIHR,False,H,0.0,validation_only,0.09554365922891045,0.20142231281966425
2023-24,>= 65 yr,2023-24 / >= 65 yr,constrained_structure_discovery,SEIR,False,I,0.0,stability_aware,0.13238760810323208,0.2630156390409293
2023-24,>= 65 yr,2023-24 / >= 65 yr,no_observation_search_discovery,SEIHR,False,I,0.0,stability_aware,0.1325219629986312,0.219393233164184
2023-24,>= 65 yr,2023-24 / >= 65 yr,validation_only_structure_selection,SEIAR,True,I,0.0,validation_only,0.30146062534550183,0.2746803674000506
2023-24,Overall,2023-24 / Overall,constrained_structure_discovery,SEIR,False,I,0.0,stability_aware,0.03791861932920407,0.1035287721880503
2023-24,Overall,2023-24 / Overall,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.05824136132971061,0.08873239305088651
2023-24,Overall,2023-24 / Overall,validation_only_structure_selection,SEIAR,True,I,0.0,validation_only,0.05909603210957737,0.13775498487180654
2024-25,0-4 yr,2024-25 / 0-4 yr,constrained_structure_discovery,SEIHR,False,H,0.0,stability_aware,0.2835517574633048,3.9280509781887223
2024-25,0-4 yr,2024-25 / 0-4 yr,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.33484437063341826,1.1965891660213992
2024-25,0-4 yr,2024-25 / 0-4 yr,validation_only_structure_selection,SEIAR,True,delayed_I,2.0,validation_only,0.33425663835298935,1.795800348825931
2024-25,>= 65 yr,2024-25 / >= 65 yr,constrained_structure_discovery,SEIR,False,delayed_I,2.0,stability_aware,0.4567318072588326,24.265264162233777
2024-25,>= 65 yr,2024-25 / >= 65 yr,no_observation_search_discovery,SEIHR,True,I,0.0,stability_aware,0.458893290874351,22.526088422260912
2024-25,>= 65 yr,2024-25 / >= 65 yr,validation_only_structure_selection,SEIHR,False,I,0.0,validation_only,6.694885868100485,11.259777052459514
2024-25,Overall,2024-25 / Overall,constrained_structure_discovery,SEIHR,True,H,0.0,stability_aware,1.0302917209127764,3.5239694883168786
2024-25,Overall,2024-25 / Overall,no_observation_search_discovery,SIR,False,I,0.0,stability_aware,0.6123457293976396,1.269303986645228
2024-25,Overall,2024-25 / Overall,validation_only_structure_selection,SEIAR,True,delayed_I,3.0,validation_only,7.76209988928583,1.0892183846113974
