season,age_group,series_name,constrained_test_mae,constrained_rolling_mean_mae,constrained_structure,constrained_observation_map,constrained_delay_weeks,no_observation_test_mae,no_observation_rolling_mean_mae,no_observation_structure,no_observation_observation_map,no_observation_delay_weeks,delta_test_mae,delta_rolling_mean_mae
2018-19,0-4 yr,2018-19 / 0-4 yr,2.6376880772771463,1.2166015611243688,SEIHR,H,0.0,2.1511687130137545,0.8490081571421909,SEIRS,I,0.0,-0.4865193642633918,-0.3675934039821779
2018-19,>= 65 yr,2018-19 / >= 65 yr,21.97214126165628,2.6965972463914833,SEIR,delayed_I,3.0,20.708289682550994,2.769689060380948,SEIR,I,0.0,-1.2638515791052853,0.07309181398946452
2018-19,Overall,2018-19 / Overall,4.125971564878726,1.0200312432802312,SEIHR,H,0.0,3.9528451888304574,0.9295147662156432,SEIR,I,0.0,-0.17312637604826842,-0.09051647706458799
2019-20,0-4 yr,2019-20 / 0-4 yr,2.6358014593479715,3.0782382200022336,SEIR,I,0.0,2.446632988074134,1.666720000555333,SEIAR,I,0.0,-0.1891684712738373,-1.4115182194469005
2019-20,>= 65 yr,2019-20 / >= 65 yr,6.0890912515647075,6.414913672717992,SEIAR,I,0.0,8.980051733988985,8.201210962105062,SEIRS,I,0.0,2.890960482424277,1.78629728938707
2019-20,Overall,2019-20 / Overall,1.837769714787035,0.8343284688680355,SEIHR,H,0.0,4.316245170125472,0.9719743676418394,SIR,I,0.0,2.478475455338437,0.13764589877380395
2021-22,0-4 yr,2021-22 / 0-4 yr,0.40997931620478434,0.37006998752229625,SEIRS,I,0.0,0.40977580230082666,0.3715959341824319,SEIRS,I,0.0,-0.000203513903957675,0.0015259466601356686
2021-22,>= 65 yr,2021-22 / >= 65 yr,1.5092828744503526,0.7113164020524593,SEIRS,delayed_I,3.0,2.1711225313356244,0.9272386861734556,SEIRS,I,0.0,0.6618396568852718,0.21592228412099634
2021-22,Overall,2021-22 / Overall,0.29983660428818815,0.31926859113448675,SIR,I,0.0,0.2926373807214936,0.3196420891754147,SIR,I,0.0,-0.007199223566694557,0.00037349804092795535
2022-23,0-4 yr,2022-23 / 0-4 yr,0.19975278861785398,0.2154351487305976,SIR,I,0.0,0.16676264926148834,0.19628635422062032,SIR,I,0.0,-0.03299013935636563,-0.01914879450997728
2022-23,>= 65 yr,2022-23 / >= 65 yr,0.42914667277596225,0.46396393077194537,SEIHR,I+H,0.0,0.42807242830636666,0.47204363933377225,SIR,I,0.0,-0.0010742444695955866,0.008079708561826882
2022-23,Overall,2022-23 / Overall,0.16615297116848105,0.1578630418184788,SIR,delayed_I,1.0,0.17115818882183875,0.16008738899692387,SIR,I,0.0,0.0050052176533577075,0.0022243471784450797
2023-24,0-4 yr,2023-24 / 0-4 yr,0.11450734843199416,0.2247716923550386,SEIRS,I,0.0,0.09728704424335953,0.20517309735549566,SEIRS,I,0.0,-0.017220304188634628,-0.019598594999542945
2023-24,>= 65 yr,2023-24 / >= 65 yr,0.13238760810323208,0.2630156390409293,SEIR,I,0.0,0.1325219629986312,0.219393233164184,SEIHR,I,0.0,0.00013435489539911916,-0.04362240587674529
2023-24,Overall,2023-24 / Overall,0.03791861932920407,0.1035287721880503,SEIR,I,0.0,0.05824136132971061,0.08873239305088651,SIR,I,0.0,0.020322742000506544,-0.014796379137163793
2024-25,0-4 yr,2024-25 / 0-4 yr,0.2835517574633048,3.9280509781887223,SEIHR,H,0.0,0.33484437063341826,1.1965891660213992,SIR,I,0.0,0.051292613170113466,-2.731461812167323
2024-25,>= 65 yr,2024-25 / >= 65 yr,0.4567318072588326,24.265264162233777,SEIR,delayed_I,2.0,0.458893290874351,22.526088422260912,SEIHR,I,0.0,0.002161483615518378,-1.7391757399728647
2024-25,Overall,2024-25 / Overall,1.0302917209127764,3.5239694883168786,SEIHR,H,0.0,0.6123457293976396,1.269303986645228,SIR,I,0.0,-0.4179459915151368,-2.2546655016716506
