series_name,reference_model,challenger_model,n_aligned,mean_abs_error_reference,mean_abs_error_challenger,mean_diff_challenger_minus_reference,ci95_low,ci95_high,reference_win_rate
0-4 yr,constrained_structure_discovery,arima_auto_small,59,0.10064964088418132,0.14067796610169486,0.0400283252175136,-0.0007608012257326916,0.08012883505975983,0.576271186440678
0-4 yr,constrained_structure_discovery,delayed_observation_seir,59,0.10064964088418132,0.2212644908179493,0.120614849933768,0.07252918865446863,0.1769832832330365,0.7627118644067796
0-4 yr,constrained_structure_discovery,deterministic_seir,59,0.10064964088418132,0.21422452329077643,0.11357488240659513,0.0691564689216496,0.16284496129318848,0.7457627118644068
0-4 yr,constrained_structure_discovery,equal_weight_point_ensemble,59,0.10064964088418132,0.14976618371300846,0.04911654282882711,0.007820278857004006,0.09502920873792992,0.5084745762711864
0-4 yr,constrained_structure_discovery,exhaustive_structure_discovery,59,0.10064964088418132,0.1144893321345026,0.013839691250321286,0.0035295916184632384,0.02335816757692699,0.6610169491525424
0-4 yr,constrained_structure_discovery,fractional_seir,59,0.10064964088418132,0.21822571580423267,0.11757607492005137,0.07083959855961068,0.16039775448215918,0.7627118644067796
0-4 yr,constrained_structure_discovery,hospitalized_seihr,59,0.10064964088418132,0.212442902753299,0.11179326186911769,0.0658096283761729,0.15967317608336326,0.7457627118644068
0-4 yr,constrained_structure_discovery,lagged_gradient_boosting,59,0.10064964088418132,0.17796610169491525,0.07731646081073396,0.027099061339211892,0.1341176672113521,0.5254237288135594
0-4 yr,constrained_structure_discovery,lagged_ridge,59,0.10064964088418132,0.17796610169491525,0.07731646081073396,0.0280506795330439,0.13313845961250043,0.5254237288135594
0-4 yr,constrained_structure_discovery,last_observed,59,0.10064964088418132,0.14067796610169486,0.0400283252175136,0.0021265331799823445,0.08030665742518624,0.576271186440678
0-4 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.10064964088418132,0.15706441044130395,0.05641476955712264,0.017300994951983863,0.10820618356468456,0.6949152542372882
0-4 yr,constrained_structure_discovery,no_stability_discovery,59,0.10064964088418132,0.11952148609873504,0.01887184521455375,0.005916692622327436,0.03653359433221401,0.6610169491525424
0-4 yr,constrained_structure_discovery,probabilistic_seir,59,0.10064964088418132,0.18915180101773293,0.08850216013355165,0.04692939419449096,0.13681101292963177,0.6610169491525424
0-4 yr,constrained_structure_discovery,random_structure_discovery,59,0.10064964088418132,0.10114525318330696,0.0004956122991256589,-1.383276148548668e-05,0.0014941694567939844,0.5084745762711864
0-4 yr,constrained_structure_discovery,rolling_mean_2wk,59,0.10064964088418132,0.1330508474576271,0.032401206573445814,-0.0063480582160576554,0.0757316466908619,0.4915254237288136
0-4 yr,constrained_structure_discovery,rolling_mean_4wk,59,0.10064964088418132,0.17796610169491525,0.07731646081073396,0.025484349997559653,0.13747420412397685,0.5254237288135594
0-4 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.10064964088418132,0.11182807865627596,0.011178437772094667,-1.1076601469178034e-05,0.033533056607003155,0.576271186440678
18-49 yr,constrained_structure_discovery,arima_auto_small,59,0.07923131049236921,0.03050847457627119,-0.04872283591609802,-0.06412087121392775,-0.03230401888169338,0.15254237288135594
18-49 yr,constrained_structure_discovery,delayed_observation_seir,59,0.07923131049236921,0.07330323986526405,-0.005928070627105177,-0.007182275957747293,-0.004700086372147871,0.05084745762711865
18-49 yr,constrained_structure_discovery,deterministic_seir,59,0.07923131049236921,0.07402355476017031,-0.005207755732198909,-0.006342617848951059,-0.004072063934137881,0.06779661016949153
18-49 yr,constrained_structure_discovery,equal_weight_point_ensemble,59,0.07923131049236921,0.05364127284369065,-0.025590037648678576,-0.03198750390819227,-0.019317239422732918,0.13559322033898305
18-49 yr,constrained_structure_discovery,exhaustive_structure_discovery,59,0.07923131049236921,0.07923006232887686,-1.2481634923626661e-06,-3.0170887002768684e-06,5.452822362879291e-07,0.4067796610169492
18-49 yr,constrained_structure_discovery,fractional_seir,59,0.07923131049236921,0.10077680861801522,0.021545498125646025,0.01125100375722693,0.03405477239444023,0.5084745762711864
18-49 yr,constrained_structure_discovery,hospitalized_seihr,59,0.07923131049236921,0.07511105016153342,-0.00412026033083579,-0.0054314829784695125,-0.0027470637841797065,0.11864406779661017
