series_name,recommended_model,decision_type,recommended_test_rank,recommended_rolling_rank,rank_score,best_test_model,best_test_mae,best_rolling_model,best_rolling_mean_mae,recommended_discovery_structure_name,recommended_discovery_fractional,recommended_discovery_observation_map,recommended_discovery_delay_weeks
0-4 yr,constrained_structure_discovery,stability_preferred,2,1,3.0,arima_auto_small,0.08181818181818182,constrained_structure_discovery,0.10020023537918905,SEIRS,True,delayed_I,1.0
18-49 yr,arima_auto_small,consensus,1,1,2.0,arima_auto_small,0.009090909090909092,arima_auto_small,0.030449735449735452,,,,
5-17 yr,rolling_mean_2wk,balanced_tradeoff,1,2,3.0,arima_auto_small,0.0,no_stability_discovery,0.03531906153742237,,,,
50-64 yr,exhaustive_structure_discovery,balanced_tradeoff,3,2,5.0,validation_only_structure_selection,0.03212085596758132,delayed_observation_seir,0.05277499821934543,SIR,False,I,0.0
>= 65 yr,validation_only_structure_selection,stability_preferred,8,1,9.0,fractional_seir,0.11959681583178612,validation_only_structure_selection,0.15766557145570956,SEIRS,True,I,0.0
Overall,delayed_observation_seir,test_preferred,1,3,4.0,delayed_observation_seir,0.03507646992012179,arima_auto_small,0.04349206349206349,,,,
