series_name,proposer_type,round_idx,candidate_id,model_name,family,observation_label,delay_label,rolling_score,valid,duplicate_model_name,numerical_failure_flag
18-49 yr,random_candidate_proposer,3,18-49 yr:random_candidate_proposer:r3:2:constrained_structure_discovery,constrained_structure_discovery,structured_search,I,0,0.0787429435247173,True,False,False
18-49 yr,deterministic_seed_proposer,1,18-49 yr:deterministic_seed_proposer:r1:0:last_observed,last_observed,forecasting_baseline,not_applicable,,0.0304497354497354,True,False,False
18-49 yr,deterministic_seed_proposer,1,18-49 yr:deterministic_seed_proposer:r1:1:rolling_mean_4wk,rolling_mean_4wk,forecasting_baseline,not_applicable,,0.0533928571428571,True,False,False
18-49 yr,deterministic_seed_proposer,1,18-49 yr:deterministic_seed_proposer:r1:2:arima_auto_small,arima_auto_small,forecasting_baseline,not_applicable,,0.0304497354497354,True,False,False
18-49 yr,deterministic_seed_proposer,2,18-49 yr:deterministic_seed_proposer:r2:0:deterministic_seir,deterministic_seir,mechanistic_baseline,not_applicable,,0.0734867207115275,True,False,True
18-49 yr,deterministic_seed_proposer,2,18-49 yr:deterministic_seed_proposer:r2:1:delayed_observation_seir,delayed_observation_seir,mechanistic_baseline,not_applicable,,0.0728272252849527,True,False,False
18-49 yr,deterministic_seed_proposer,2,18-49 yr:deterministic_seed_proposer:r2:2:constrained_structure_discovery,constrained_structure_discovery,structured_search,I,0,0.0787429435247173,True,False,False
18-49 yr,deterministic_seed_proposer,3,18-49 yr:deterministic_seed_proposer:r3:0:no_observation_search_discovery,no_observation_search_discovery,ablation,I,0,0.0787422764073389,True,False,False
18-49 yr,deterministic_seed_proposer,3,18-49 yr:deterministic_seed_proposer:r3:1:validation_only_structure_selection,validation_only_structure_selection,ablation,I,0,0.0391850575863337,True,False,False
18-49 yr,deterministic_seed_proposer,3,18-49 yr:deterministic_seed_proposer:r3:2:random_structure_discovery,random_structure_discovery,ablation,delayed_I,2,0.0798423983654796,True,False,False
18-49 yr,oracle_reference,1,18-49 yr:oracle_reference:r1:0:arima_auto_small,arima_auto_small,forecasting_baseline,not_applicable,,0.0304497354497354,True,False,False
18-49 yr,oracle_reference,1,18-49 yr:oracle_reference:r1:1:last_observed,last_observed,forecasting_baseline,not_applicable,,0.0304497354497354,True,False,False
18-49 yr,oracle_reference,1,18-49 yr:oracle_reference:r1:2:validation_only_structure_selection,validation_only_structure_selection,ablation,I,0,0.0391850575863337,True,False,False
18-49 yr,oracle_reference,2,18-49 yr:oracle_reference:r2:0:rolling_mean_4wk,rolling_mean_4wk,forecasting_baseline,not_applicable,,0.0533928571428571,True,False,False
18-49 yr,oracle_reference,2,18-49 yr:oracle_reference:r2:1:delayed_observation_seir,delayed_observation_seir,mechanistic_baseline,not_applicable,,0.0728272252849527,True,False,False
18-49 yr,oracle_reference,2,18-49 yr:oracle_reference:r2:2:exhaustive_structure_discovery,exhaustive_structure_discovery,ablation,I,0,0.0787418202336159,True,False,False
18-49 yr,oracle_reference,3,18-49 yr:oracle_reference:r3:0:no_observation_search_discovery,no_observation_search_discovery,ablation,I,0,0.0787422764073389,True,False,False
18-49 yr,oracle_reference,3,18-49 yr:oracle_reference:r3:1:constrained_structure_discovery,constrained_structure_discovery,structured_search,I,0,0.0787429435247173,True,False,False
18-49 yr,oracle_reference,3,18-49 yr:oracle_reference:r3:2:random_structure_discovery,random_structure_discovery,ablation,delayed_I,2,0.0798423983654796,True,False,False
