series_name,constrained_test_mae,no_observation_test_mae,delta_test_mae_no_observation_minus_constrained,constrained_rolling_mean_mae,no_observation_rolling_mean_mae,delta_rolling_mean_mae_no_observation_minus_constrained,constrained_structure,constrained_observation_map,constrained_delay_weeks,no_observation_structure,no_observation_observation_map,no_observation_delay_weeks
Overall,0.0369673461326827,0.0702528646201435,0.0332855184874608,0.0888715971007055,0.0989187285988708,0.010047131498165301,SIR,I,0.0,SEIRS,I,0.0
0-4 yr,0.0884963717287904,0.091118122634469,0.0026217509056786076,0.100200235379189,0.1575152537203454,0.05731501834115639,SEIRS,delayed_I,1.0,SEIRS,I,0.0
5-17 yr,0.0043724261113881,0.0534253378929867,0.0490529117815986,0.0500154184526216,0.1018885105702366,0.051873092117615,SEIRS,delayed_I,1.0,SIR,I,0.0
18-49 yr,0.0480175345095416,0.0480174730738215,-6.143572009453813e-08,0.0787429435247173,0.0787422764073389,-6.671173783945328e-07,SIR,I,0.0,SIR,I,0.0
50-64 yr,0.0371607159032478,0.0370094064638786,-0.000151309439369203,0.0540426538599386,0.0557194610249131,0.0016768071649744948,SIR,I,0.0,SEIR,I,0.0
>= 65 yr,0.1218656648080898,0.1201751782469264,-0.0016904865611633985,0.1748237283686136,0.2320849287670753,0.05726120039846169,SEIRS,I,0.0,SIR,I,0.0
