series_name,reference_model,challenger_model,n_aligned,mean_abs_error_reference,mean_abs_error_challenger,mean_diff_challenger_minus_reference,ci95_low,ci95_high,reference_win_rate,interpretation
Overall,constrained_structure_discovery,deterministic_seir,59,0.0896462628575142,0.0828189190170398,-0.0068273438404743,-0.0088714230529908,-0.0047365553219825,0.2711864406779661,challenger_lower_error
Overall,constrained_structure_discovery,delayed_observation_seir,59,0.0896462628575142,0.082191543890311,-0.0074547189672032,-0.0097260046882171,-0.0051670099966571,0.2542372881355932,challenger_lower_error
Overall,constrained_structure_discovery,arima_auto_small,59,0.0896462628575142,0.0423728813559321,-0.047273381501582,-0.0676651465835476,-0.0297548892679556,0.1864406779661017,challenger_lower_error
Overall,constrained_structure_discovery,no_observation_search_discovery,59,0.0896462628575142,0.098975113939053,0.0093288510815387,-0.0150797535330482,0.0308464567770338,0.6610169491525424,uncertain_ci_crosses_zero
Overall,constrained_structure_discovery,validation_only_structure_selection,59,0.0896462628575142,0.0848676473048481,-0.004778615552666,-0.0293338681000945,0.0189946547838331,0.5932203389830508,uncertain_ci_crosses_zero
Overall,constrained_structure_discovery,random_structure_discovery,59,0.0896462628575142,0.0896465491414496,2.862839353373281e-07,-1.9287871183636377e-06,2.3617046628918e-06,0.5254237288135594,uncertain_ci_crosses_zero
0-4 yr,constrained_structure_discovery,deterministic_seir,59,0.1006496408841813,0.2142245232907764,0.1135748824065951,0.0691564689216496,0.1628449612931884,0.7457627118644068,reference_lower_error
0-4 yr,constrained_structure_discovery,delayed_observation_seir,59,0.1006496408841813,0.2212644908179493,0.120614849933768,0.0725291886544686,0.1769832832330365,0.7627118644067796,reference_lower_error
0-4 yr,constrained_structure_discovery,arima_auto_small,59,0.1006496408841813,0.1406779661016948,0.0400283252175136,-0.0007608012257326,0.0801288350597598,0.576271186440678,uncertain_ci_crosses_zero
0-4 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.1006496408841813,0.1570644104413039,0.0564147695571226,0.0173009949519838,0.1082061835646845,0.6949152542372882,reference_lower_error
0-4 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.1006496408841813,0.1118280786562759,0.0111784377720946,-1.1076601469178034e-05,0.0335330566070031,0.576271186440678,uncertain_ci_crosses_zero
