series_name,model_name,model_family,numerical_failure_flag,train_success,train_plus_validation_success,full_success,max_abs_test_prediction,max_abs_full_prediction,test_mae,rolling_mean_mae
Overall,hospitalized_seihr,epidemic_model,True,False,False,True,0.1855746609599483,7.858982857608401,0.0361116072756474,0.0856330318490348
Overall,probabilistic_seir,epidemic_model,True,False,True,True,0.1894389446727153,7.82448836437305,0.0368224678800561,0.0956908549562055
0-4 yr,hospitalized_seihr,epidemic_model,True,True,False,True,0.2728721224878578,7.5282269033061855,0.1174537462421978,0.2117238318423371
18-49 yr,deterministic_seir,epidemic_model,True,False,True,True,0.0873506301897291,3.6994071101458816,0.0448469452587281,0.0734867207115275
18-49 yr,fractional_seir,epidemic_model,True,False,True,True,0.1165786457967544,4.17463068702354,0.0786309385927032,0.0996051281525248
18-49 yr,hospitalized_seihr,epidemic_model,True,True,False,True,0.0869748770504999,3.722823925141193,0.0446554813568855,0.0746322970087163
50-64 yr,fractional_seir,epidemic_model,True,False,True,True,0.2429567956605187,10.98936555291026,0.0996879666410169,0.1250957050418382
50-64 yr,hospitalized_seihr,epidemic_model,True,False,True,True,0.1315295307047194,10.217804006639426,0.0372262536420237,0.0635095125203646
>= 65 yr,constrained_structure_discovery,structure_discovery,True,False,True,True,0.2619165674058172,23.969220034114315,0.1218656648080898,0.1748237283686136
>= 65 yr,hospitalized_seihr,epidemic_model,True,False,True,True,0.5656057499653823,23.006898112173864,0.1295248371762156,0.2593269906277726
>= 65 yr,validation_only_structure_selection,structure_discovery_ablation,True,True,False,True,0.2607428077645226,23.969859166709902,0.1222593384926004,0.1576655714557095
Overall,arima_auto_small,forecast_baseline,False,True,True,True,0.2,8.9,0.109090909090909,0.0434920634920634
Overall,constrained_structure_discovery,structure_discovery,False,True,True,True,0.1900029176780585,7.688720417553623,0.0369673461326827,0.0888715971007055
Overall,delayed_observation_seir,epidemic_model,False,True,True,True,0.1797056731577669,7.82984801520611,0.0350764699201217,0.0814357127058704
Overall,deterministic_seir,epidemic_model,False,True,True,True,0.1799679479569039,7.821453228644074,0.0351225754236325,0.0820588425321457
Overall,equal_weight_point_ensemble,point_ensemble,False,True,True,True,0.1991790881312522,6.987889628073948,0.0779299826658217,0.0817614344288467
Overall,exhaustive_structure_discovery,structure_discovery_ablation,False,True,True,True,0.1900024207557976,7.688607964269929,0.0369672002584754,0.0888727874115738
Overall,fractional_seir,epidemic_model,False,True,True,True,0.242114342519793,8.216091340770113,0.0847808375028996,0.1355639381791604
Overall,lagged_gradient_boosting,forecast_baseline,False,True,True,True,0.2,6.975,0.109090909090909,0.1022089947089947
Overall,lagged_ridge,forecast_baseline,False,True,True,True,0.2,6.975,0.109090909090909,0.1022089947089947
Overall,last_observed,forecast_baseline,False,True,True,True,0.2,8.9,0.109090909090909,0.0434920634920634
